Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Shaquille O'Neal,1992,1,C,81,81,37.9,0.562,0,0.592,13.9,1.9,0.7,3.5,23.4,81,81,39.8,0.599,0,0.554,13.2,2.4,0.9,2.9,29.3,79,79,37,0.583,0,0.533,11.4,2.7,0.9,2.4,29.3,54,52,36,0.573,0.5,0.487,11,2.9,0.6,2.1,26.6,No,4,15
Kobe Bryant,1996,13,SG,71,6,15.5,0.417,0.375,0.819,1.9,1.3,0.7,0.3,7.6,79,1,26,0.428,0.341,0.794,3.1,2.5,0.9,0.5,15.4,50,50,37.9,0.465,0.267,0.839,5.3,3.8,1.4,1,19.9,66,62,38.2,0.468,0.319,0.821,6.3,4.9,1.6,0.9,22.5,No,2,18
Lebron James,2003,1,SG,79,79,39.5,0.417,0.29,0.754,5.5,5.9,1.6,0.7,20.9,80,80,42.3,0.472,0.351,0.75,7.4,7.2,2.2,0.7,27.2,79,79,42.5,0.48,0.335,0.738,7,6.6,1.6,0.8,31.4,78,78,40.9,0.476,0.319,0.698,6.7,6,1.6,0.7,27.3,Yes,3,21
Carmelo Anthony,2003,3,SF,82,82,36.5,0.426,0.322,0.777,6.1,2.8,1.2,0.5,21,75,75,34.8,0.431,0.266,0.796,5.7,2.6,0.9,0.4,20.8,80,80,36.8,0.481,0.243,0.808,4.9,2.7,1.1,0.5,26.5,65,65,38.2,0.476,0.268,0.808,6,3.8,1.2,0.4,28.9,No,1,10
Andrew Bogut,2005,1,C,82,77,28.6,0.533,0,0.629,7,2.3,0.6,0.8,9.4,66,66,34.2,0.553,0.2,0.577,8.8,3,0.7,0.5,12.3,78,78,34.9,0.511,0,0.587,9.8,2.6,0.8,1.7,14.3,36,33,31.2,0.577,0,0.571,10.3,2,0.6,1,11.7,No,0,0
Marvin Williams,2005,2,F,79,7,24.7,0.443,0.245,0.747,4.8,0.8,0.6,0.3,8.5,64,63,34,0.433,0.244,0.815,5.3,1.9,0.8,0.5,13.1,80,80,34.6,0.462,0.1,0.822,5.7,1.7,1,0.4,14.8,61,59,34.3,0.458,0.355,0.806,6.3,1.3,0.9,0.6,13.9,No,0,0
Deron Williams,2005,3,PG,80,47,28.8,0.421,0.416,0.704,2.4,4.5,0.8,0.2,10.8,80,80,36.9,0.456,0.322,0.767,3.3,9.3,1,0.2,16.2,82,82,37.3,0.507,0.395,0.803,3,10.5,1.1,0.3,18.8,68,68,36.8,0.471,0.31,0.849,2.9,10.7,1.1,0.3,19.4,No,0,3
Chris Paul,2005,4,PG,78,78,36,0.43,0.282,0.847,5.1,7.8,2.2,0.1,16.1,64,64,36.8,0.437,0.35,0.818,4.4,8.9,1.8,0,17.3,80,80,37.6,0.488,0.369,0.851,4,11.6,2.7,0.1,21.1,78,78,38.5,0.503,0.364,0.868,5.5,11,2.8,0.1,22.8,Yes,2,11
Raymond Felton,2005,5,PG,80,54,30.1,0.391,0.358,0.725,3.3,5.6,1.3,0.1,11.9,78,75,36.3,0.384,0.33,0.797,3.4,7,1.5,0.1,14,79,79,37.6,0.413,0.28,0.8,3,7.4,1.2,0.2,14.4,82,81,37.6,0.408,0.285,0.805,3.8,6.7,1.5,0.4,14.2,No,0,0
Martell Webster,2005,6,G/F,61,18,17.5,0.399,0.357,0.859,2.1,0.6,0.3,0.2,6.6,82,27,21.5,0.396,0.364,0.705,2.9,0.6,0.4,0.2,7,75,70,28.4,0.422,0.388,0.735,3.9,1.2,0.6,0.4,10.7,1,0,5,0,0,0,0,0,0,0,0,No,0,0
Charlie Villanueva,2005,7,F,81,36,29.1,0.463,0.327,0.706,6.4,1.1,0.7,0.8,13,39,17,25.2,0.47,0.337,0.82,5.8,0.9,0.6,0.3,11.8,76,31,24.1,0.435,0.297,0.783,6.1,1,0.4,0.5,11.7,78,47,26.9,0.447,0.345,0.838,6.7,1.8,0.6,0.7,16.2,No,0,0
Channing Frye,2005,8,C,65,14,24.2,0.477,0.333,0.825,5.8,0.8,0.5,0.7,12.3,72,59,26.3,0.433,0.167,0.787,5.5,0.9,0.5,0.6,9.5,78,20,17.2,0.488,0.3,0.78,4.5,0.7,0.4,0.3,6.8,63,1,11.8,0.423,0.333,0.722,2.2,0.4,0.3,0.3,4.2,No,0,0
Ike Diogu,2005,9,F,69,14,14.9,0.524,0,0.81,3.3,0.4,0.2,0.4,7,17,0,13.1,0.53,0,0.795,3.7,0.3,0.2,0.6,7.2,42,2,12.8,0.454,0,0.802,3.3,0.5,0.1,0.4,5.8,30,1,10.2,0.478,0,0.851,2.8,0.3,0.2,0.1,5.6,No,0,0
Andrew Bynum,2005,10,C,46,0,7.3,0.402,0,0.296,1.7,0.2,0.1,0.5,1.6,82,53,21.9,0.558,0,0.668,5.9,1.1,0.1,1.6,7.8,35,25,28.8,0.636,0,0.695,10.2,1.7,0.3,2.1,13,50,50,28.9,0.56,0,0.707,8,1.4,0.4,1.8,14.3,No,0,0
Sean May,2005,13,F,23,1,17.3,0.409,0,0.766,4.7,1,0.7,0.5,8.2,35,8,23.9,0.5,0.667,0.768,6.7,1.9,0.5,0.7,11.9,24,12,12.5,0.398,1,0.7,2.9,0.4,0.2,0.2,3.9,37,4,8.9,0.459,0,0.656,1.9,0.5,0.3,0.2,3.3,No,0,0
Rashad McCants,2005,14,G,79,12,17.2,0.45,0.372,0.736,1.8,0.8,0.6,0.3,7.9,37,0,15,0.35,0.267,0.69,1.3,1,0.7,0.2,5,75,24,26.9,0.453,0.407,0.748,2.7,2.2,0.9,0.2,14.9,34,2,18.7,0.36,0.319,0.741,1.9,0.9,0.8,0.2,9.1,No,0,0
Antoine Wright,2005,15,G/F,39,0,9.5,0.358,0.067,0.5,0.8,0.3,0.1,0.1,1.8,63,23,18,0.438,0.322,0.603,2.8,0.9,0.5,0.2,4.5,41,10,25.8,0.401,0.267,0.707,3,1.6,0.6,0.4,7.3,15,0,11.7,0.5,0.556,0.556,1.5,0.9,0.1,0.3,3.5,No,0,0
Joey Graham,2005,16,F,80,24,19.8,0.478,0.333,0.812,3.1,0.8,0.5,0.2,6.7,79,21,16.7,0.495,0.29,0.84,3.1,0.6,0.4,0.1,6.4,38,3,8.7,0.434,0.667,0.844,1.8,0.4,0.1,0,3.6,78,10,19.8,0.481,0.188,0.825,3.7,0.6,0.4,0.2,7.7,No,0,0
Danny Granger,2005,17,SF,78,17,22.6,0.462,0.323,0.777,4.9,1.2,0.7,0.8,7.5,82,57,34,0.459,0.382,0.803,4.6,1.4,0.8,0.7,13.9,80,80,36,0.446,0.404,0.852,6.1,2.1,1.2,1.1,19.6,67,66,36.2,0.447,0.404,0.878,5.1,2.7,1,1.4,25.8,No,1,1
Gerald Green,2005,18,G/F,32,3,11.7,0.478,0.3,0.784,1.3,0.6,0.4,0.1,5.2,81,26,22,0.419,0.368,0.805,2.6,1,0.5,0.3,10.4,29,0,12.3,0.331,0.385,0.829,2.1,1,0.3,0.1,5.1,1,0,4,1,0,0,2,0,0,0,6,No,0,0
Hakim Warrick,2005,19,F,68,2,10.6,0.443,0,0.661,2.1,0.4,0.2,0.3,4.1,82,43,26.2,0.524,0,0.771,5.1,0.9,0.5,0.4,12.7,75,30,23.4,0.502,0.271,0.704,4.7,0.7,0.5,0.4,11.4,82,7,24.7,0.491,0.217,0.711,5,0.8,0.6,0.5,11.6,No,0,0
